parameter,importance
units,0.004788321207717179
total_d,-3.931832649948439e-05
weight,0.00018138265923384726
Barcelona,-0.5944508492603214
Rotterdam,-1.2485493192415311
1,0.33077628841750717
2,0.8856545001649258
3,0.23179476287731665
1,-0.8153537889387522
2,-0.47107310212165876
Dusseldorf,-0.6006288671620575
Hamburg,-0.48472613330055453
Liege,-0.2009236766642591
Lille,0.5192383100483955
Rome,-0.07480194277577434
Venlo,-0.5804926204822097
Warsaw,-0.32855193362163676
Zaragoza,0.363736644612621
Athens,0.030778510896299245
Barcelona,-0.026831612879204655
Berlin,-0.39756201001607816
Bordeaux,0.1832826084640079
Bremen,-0.09576233800095217
Bucharest,-0.1167822405927794
Budapest,-0.12413742574815882
Cologne,-0.23915607925856824
Copenhagen,0.008529816438411738
Hanover,-0.15800066840393662
Helsinki,0.23538346881080424
Lisbon,0.23011341489146214
Lyon,0.3892083553174912
Madrid,-0.08741281537304126
Malmö,-0.032971210419625786
Marseille,0.24788754516706746
Milan,-0.25629759196090807
Munich,-0.21357469511219765
Naples,-0.14174669245540947
Paris,0.35417625976412354
Porto,0.09297391486937288
Prague,-0.054849552695730025
Rome,-0.09785794148045929
Stockholm,0.11271120875763833
Turin,-0.0889572740481222
Valencia,0.012779129602168215
Vienna,-0.2901527651516162
1,-0.15808683298615292
2,-0.3521941032495297
3,-0.3554200990184779
4,0.06335069535200114
5,-0.3152973167211075
6,-0.011807970170495567
